Date,NDX Close,QQQ Close,TQQQ Close,QQQ Return,Synthetic TQQQ Return,QQQ Source,TQQQ Source,NDX Classification
1938-05-17,2.14,0.04544861099528578,5.406681450318212e-05,0.0046948356807512415,0.013707043093958258,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-18,2.16,0.045873364369073494,5.555158628618252e-05,0.009345794392523255,0.02746179512597424,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-19,2.13,0.045236234308391916,5.325994498007296e-05,-0.01388888888888895,-0.04125249087044769,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-20,2.1,0.04459910424771034,5.1032027567547436e-05,-0.014084507042253502,-0.041831012280599086,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-21,2.07,0.04396197418702876,4.886693955738416e-05,-0.014285714285714346,-0.04242606287389815,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-23,2.09,0.04438672756081648,5.025458747059315e-05,0.009661835748792313,0.02839645629085194,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-24,2.05,0.043537220813241045,4.740120961655999e-05,-0.019138755980861122,-0.05677845541370329,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-25,2.01,0.042687714065665606,4.465749180562346e-05,-0.019512195121951348,-0.05788286487056301,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-26,1.96,0.04162583063119631,4.1364239766251875e-05,-0.02487562189054726,-0.07374467096597903,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-27,1.96,0.04162583063119631,4.13568988236105e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-28,1.98,0.042050584004984036,4.259760971942984e-05,0.010204081632653184,0.03000009505333107,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-05-31,1.95,0.04141345394430246,4.0681288788255996e-05,-0.015151515151515138,-0.04498658360869894,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-01,2.02,0.04290009075255947,4.4992921956001986e-05,0.03589743589743577,0.10598565817783734,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-02,2.01,0.042687714065665606,4.432621359982934e-05,-0.004950495049505066,-0.014818071980845799,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-03,1.99,0.04226296069187789,4.301396482117961e-05,-0.00995024875621886,-0.029604350836200225,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-04,2.03,0.04311246743945332,4.5563307218712225e-05,0.02010050251256268,0.059267784500472556,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-06,2.05,0.043537220813241045,4.6882797328224755e-05,0.009852216748768683,0.028959489335986088,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-07,2.05,0.043537220813241045,4.687447700303577e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-08,2.05,0.043537220813241045,4.686615815446114e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-09,2.09,0.04438672756081648,4.956227090947354e-05,0.019512195121951237,0.0575279233712002,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-10,2.07,0.04396197418702876,4.815083838826874e-05,-0.009569377990430561,-0.02847796308169227,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-11,2.06,0.04374959750013491,4.745436375135875e-05,-0.004830917874396046,-0.014464434269947505,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-13,2.01,0.042687714065665606,4.4039592375644796e-05,-0.024271844660194275,-0.07195905931024395,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-14,2.03,0.04311246743945332,4.532772444006753e-05,0.00995024875621886,0.02924940933683774,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-15,2.04,0.04332484412634719,4.5980036143722e-05,0.0049261083743845635,0.01439100929315308,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-16,2.06,0.04374959750013491,4.7305027262653935e-05,0.009803921568627416,0.028816661100271312,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-17,2.04,0.04332484412634719,4.593838000247633e-05,-0.009708737864077666,-0.028890106173906194,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-18,2.04,0.04332484412634719,4.5930227283738165e-05,0.0,-0.00017747074968124272,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
1938-06-20,2.14,0.04544861099528578,5.258061134068404e-05,0.0490196078431373,0.1447931885000822,Synthetic QQQ from NDX,Synthetic fitted TQQQ,Vendor reconstructed pre-1985 NDX
